,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[19593],-2.30959,9.4596e-05,0.00478256,0.00484343,-2.3176,-2.30948,-2.30191,2616.09,2989.05,4.86143,1.00024
log_lik[19594],-0.530791,0.00015505,0.00893557,0.00880274,-0.545932,-0.530649,-0.516137,3360.67,3464.99,6.24508,1.00155
log_lik[19595],-1.17737,0.000216406,0.0107844,0.0106211,-1.19519,-1.17719,-1.15942,2517.33,2734.57,4.67791,1.00123
log_lik[19596],-0.675896,0.000158977,0.00808663,0.00788037,-0.689379,-0.675917,-0.66263,2623.96,2914.51,4.87606,1.00132
log_lik[19597],-0.847837,0.00015072,0.00812509,0.00814873,-0.861055,-0.847895,-0.834387,2949.17,3220.73,5.48039,1.00055
log_lik[19598],-1.33359,0.000146015,0.00720728,0.0071365,-1.3458,-1.33361,-1.32179,2472.36,2743.33,4.59435,1.00107
log_lik[19599],-0.43377,0.00011694,0.00757517,0.00737647,-0.446157,-0.433885,-0.421208,4236.07,2829.57,7.87182,1.00018
log_lik[19600],-1.04871,0.000124961,0.00641212,0.00651254,-1.05931,-1.04863,-1.0384,2687.1,2970.78,4.99339,1.0003
log_lik[19601],-0.351333,0.000117972,0.00698146,0.00686442,-0.363005,-0.351264,-0.339928,3514.54,3107.82,6.53101,1.00035
log_lik[19602],-0.402246,0.0001527,0.00822785,0.00805586,-0.415962,-0.402326,-0.388706,2942.8,3125.87,5.46857,1.00109
log_lik[19603],-0.819284,0.000158154,0.00794248,0.00777917,-0.832597,-0.819324,-0.806286,2556.12,2775.43,4.75,1.00114
log_lik[19604],-1.40741,0.000229318,0.0113126,0.0112097,-1.42611,-1.40724,-1.38844,2467.46,2713.95,4.58524,1.00108
log_lik[19605],-3.27771,6.84651e-05,0.00346544,0.00351028,-3.28358,-3.27759,-3.27222,2631.21,2943.09,4.88953,1.00023
log_lik[19606],-0.614878,0.000165697,0.00916271,0.00894132,-0.630186,-0.614678,-0.599758,3096.53,3141.29,5.75423,1.00099
log_lik[19607],-1.03815,0.000154155,0.00765916,0.0075391,-1.05104,-1.03818,-1.02561,2503.57,2754.0,4.65235,1.00119
log_lik[19608],-1.46793,0.000184652,0.00933399,0.0094753,-1.48313,-1.46801,-1.45257,2603.88,3038.29,4.83874,1.00024
log_lik[19609],-1.41751,0.000117554,0.00596967,0.00604968,-1.42745,-1.41743,-1.40786,2635.11,2943.09,4.89678,1.00023
log_lik[19610],-0.927834,0.000156649,0.00830217,0.00836496,-0.941261,-0.927913,-0.914126,2862.16,3008.74,5.3187,1.00059
log_lik[19611],-0.975567,0.000126002,0.00649056,0.0065994,-0.986311,-0.975462,-0.965109,2707.54,2970.85,5.03137,1.00042
log_lik[19612],-1.54346,0.000187478,0.00945626,0.00960339,-1.5589,-1.54352,-1.5279,2592.29,3037.86,4.81721,1.00024
log_lik[19613],-1.64008,0.000112153,0.00568131,0.00576642,-1.64955,-1.63998,-1.63092,2622.71,2989.05,4.87374,1.00023
log_lik[19614],-0.605407,0.000158574,0.00814095,0.0079253,-0.618989,-0.605439,-0.592068,2675.65,2994.47,4.97212,1.00159
log_lik[19615],-0.687317,0.000127307,0.00674772,0.00683934,-0.698584,-0.687237,-0.676465,2869.36,3081.66,5.33208,1.0006
log_lik[19616],-0.975567,0.000126002,0.00649056,0.0065994,-0.986311,-0.975462,-0.965109,2707.54,2970.85,5.03137,1.00042
log_lik[19617],-1.31605,0.00017839,0.00907479,0.00923356,-1.33082,-1.31611,-1.30111,2637.31,2989.84,4.90088,1.00023
log_lik[19618],-0.468154,0.000155559,0.00821018,0.00808094,-0.481879,-0.468223,-0.454645,2823.47,3126.33,5.24681,1.00148
log_lik[19619],-1.25449,0.00022106,0.0109695,0.010801,-1.27262,-1.25437,-1.23621,2497.53,2773.94,4.64112,1.00113
log_lik[19620],-1.86307,0.000106438,0.00538515,0.00546687,-1.87205,-1.86296,-1.85439,2617.36,2989.05,4.86379,1.00025
log_lik[19621],-1.17737,0.000216406,0.0107844,0.0106211,-1.19519,-1.17719,-1.15942,2517.33,2734.57,4.67791,1.00123
log_lik[19622],-1.34347,0.00011924,0.006063,0.00615405,-1.35353,-1.34339,-1.33368,2642.34,2943.02,4.91021,1.00022
log_lik[19623],-0.446973,0.00014396,0.00877694,0.00866234,-0.461718,-0.446877,-0.432825,3661.29,3505.49,6.80372,1.00162
log_lik[19624],-1.33359,0.000146015,0.00720728,0.0071365,-1.3458,-1.33361,-1.32179,2472.36,2743.33,4.59435,1.00107
log_lik[19625],-1.61878,0.000190148,0.0095747,0.00969413,-1.63443,-1.61883,-1.60303,2582.25,3062.34,4.79855,1.00025
log_lik[19626],-1.03815,0.000154155,0.00765916,0.0075391,-1.05104,-1.03818,-1.02561,2503.57,2754.0,4.65235,1.00119
log_lik[19627],-1.31605,0.00017839,0.00907479,0.00923356,-1.33082,-1.31611,-1.30111,2637.31,2989.84,4.90088,1.00023
log_lik[19628],-1.41751,0.000117554,0.00596967,0.00604968,-1.42745,-1.41743,-1.40786,2635.11,2943.09,4.89678,1.00023
log_lik[19629],-0.601333,0.000129761,0.00763187,0.00751063,-0.613844,-0.601381,-0.588598,3492.76,3186.61,6.49053,1.00041
log_lik[19630],-1.46793,0.000184652,0.00933399,0.0094753,-1.48313,-1.46801,-1.45257,2603.88,3038.29,4.83874,1.00024
log_lik[19631],-1.64008,0.000112153,0.00568131,0.00576642,-1.64955,-1.63998,-1.63092,2622.71,2989.05,4.87374,1.00023
log_lik[19632],-0.290644,0.000133167,0.00905519,0.00906966,-0.305736,-0.290632,-0.276113,4640.71,3638.06,8.62376,1.00112
log_lik[19633],-1.39215,0.000181637,0.00920712,0.00936358,-1.40719,-1.39224,-1.37697,2617.58,3014.15,4.8642,1.00023
log_lik[19634],-1.25949,0.00014824,0.00732547,0.0072574,-1.2719,-1.25953,-1.24748,2477.48,2743.66,4.60386,1.00107
log_lik[19635],-0.517417,0.000122651,0.00754615,0.00735563,-0.529731,-0.517539,-0.504792,3822.45,3033.58,7.10321,1.00014
log_lik[19636],-1.63456,0.000239929,0.0117792,0.0116603,-1.65409,-1.63437,-1.6148,2443.29,2733.54,4.54032,1.00109
log_lik[19637],-1.64008,0.000112153,0.00568131,0.00576642,-1.64955,-1.63998,-1.63092,2622.71,2989.05,4.87374,1.00023
log_lik[19638],-0.193579,0.000114273,0.00761212,0.00734377,-0.206247,-0.193389,-0.181148,4491.44,2797.46,8.34636,1.0
log_lik[19639],-1.11173,0.00015234,0.00755216,0.00748098,-1.12448,-1.11176,-1.09936,2493.35,2743.84,4.63335,1.00106
log_lik[19640],-1.12212,0.000123732,0.0063295,0.00643144,-1.1326,-1.12204,-1.11193,2670.4,2990.36,4.96237,1.00027
log_lik[19641],-1.04871,0.000124961,0.00641212,0.00651254,-1.05931,-1.04863,-1.0384,2687.1,2970.78,4.99339,1.0003
log_lik[19642],-0.279703,0.000143938,0.00826824,0.0081057,-0.293308,-0.2798,-0.265812,3335.06,3395.57,6.19749,1.00143
log_lik[19643],-0.758502,0.000127529,0.00669326,0.00677169,-0.76957,-0.758416,-0.747693,2812.12,3035.41,5.22572,1.00065
log_lik[19644],-0.675896,0.000158977,0.00808663,0.00788037,-0.689379,-0.675917,-0.66263,2623.96,2914.51,4.87606,1.00132
log_lik[19645],-0.277784,0.000123835,0.00841975,0.00816803,-0.291457,-0.27785,-0.26365,4665.36,2835.84,8.66956,1.00039
log_lik[19646],-0.468154,0.000155559,0.00821018,0.00808094,-0.481879,-0.468223,-0.454645,2823.47,3126.33,5.24681,1.00148
log_lik[19647],-1.33114,0.000225342,0.0111451,0.0110389,-1.34954,-1.33098,-1.31248,2480.11,2723.79,4.60875,1.00107
log_lik[19648],-1.78871,0.000108367,0.00548446,0.0055636,-1.79785,-1.7886,-1.77986,2619.12,2989.05,4.86706,1.00025
log_lik[19649],-0.614878,0.000165697,0.00916271,0.00894132,-0.630186,-0.614678,-0.599758,3096.53,3141.29,5.75423,1.00099
log_lik[19650],-1.19575,0.000122351,0.00624338,0.00635405,-1.2061,-1.19565,-1.18565,2657.79,2943.64,4.93893,1.00022
log_lik[19651],-1.31605,0.00017839,0.00907479,0.00923356,-1.33082,-1.31611,-1.30111,2637.31,2989.84,4.90088,1.00023
log_lik[19652],-1.93746,0.000104492,0.0052854,0.00536605,-1.94627,-1.93734,-1.92894,2616.26,2989.05,4.86176,1.00025
log_lik[19653],-0.698291,0.00017553,0.00941556,0.00920324,-0.713855,-0.698121,-0.682759,2918.26,3203.95,5.42296,1.00112
log_lik[19654],-1.46793,0.000184652,0.00933399,0.0094753,-1.48313,-1.46801,-1.45257,2603.88,3038.29,4.83874,1.00024
log_lik[19655],-1.77986,0.000131323,0.00646064,0.00637014,-1.79082,-1.77985,-1.76939,2455.75,2733.43,4.56348,1.00108
log_lik[19656],-0.684574,0.000136951,0.00777611,0.00769595,-0.697184,-0.684619,-0.671581,3250.4,3240.9,6.04017,1.0004
log_lik[19657],-0.891848,0.000157117,0.00785555,0.00776005,-0.905025,-0.891883,-0.87899,2534.97,2734.8,4.7107,1.00117
log_lik[19658],-0.942065,0.00019936,0.0101569,0.00988817,-0.958812,-0.941942,-0.925196,2634.61,2891.59,4.89585,1.00145
log_lik[19659],-1.77986,0.000131323,0.00646064,0.00637014,-1.79082,-1.77985,-1.76939,2455.75,2733.43,4.56348,1.00108
log_lik[19660],-0.351333,0.000117972,0.00698146,0.00686442,-0.363005,-0.351264,-0.339928,3514.54,3107.82,6.53101,1.00035
