,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
v_easy[20],-1.1699,2.29239,3.39323,3.46457,-6.28508,-0.288365,2.08838,5.01781,4000.0,0.010455,2.36659
v_easy[21],0.583269,1.12784,1.93768,2.07255,-3.16795,0.945251,2.76909,6.03354,4000.0,0.0125714,2.25497
v_easy[22],2.06175,2.13993,3.11603,3.35684,-2.85752,3.31993,5.58404,4.50682,4000.0,0.00939036,3.09271
v_hard[1],1.28998,0.648156,1.27448,0.995807,0.23002,1.10375,3.48688,6.39913,4000.0,0.0133332,2.10299
v_hard[2],1.1112,0.814282,1.49502,1.51129,-0.358637,1.40774,3.60604,6.03722,4000.0,0.0125791,1.87937
v_hard[3],1.22279,0.91306,1.55515,1.91882,-0.341542,0.960931,3.85811,5.08412,4000.0,0.0105932,2.24023
v_hard[4],0.794366,0.54305,1.42731,0.281375,0.0213528,0.211179,3.75573,6.3869,4000.0,0.0133077,2.40689
v_hard[5],1.34125,0.71178,1.4466,0.925208,0.161573,0.789378,3.70422,6.32172,4000.0,0.0131719,1.71905
v_hard[6],1.16499,0.829482,1.54624,0.974242,-0.499704,1.33351,3.50739,6.25186,4000.0,0.0130263,1.73069
v_hard[7],1.35246,0.969339,1.60401,1.41904,-0.556518,1.50913,3.90926,5.80601,4000.0,0.0120973,1.97279
v_hard[8],1.60409,0.92213,1.62125,1.45565,-0.458254,2.18543,4.03616,5.69106,4000.0,0.0118578,1.91142
v_hard[9],1.06262,0.807193,1.4916,0.870624,-0.504401,1.26957,3.55378,6.72086,4000.0,0.0140035,1.92582
v_hard[10],1.65848,0.777532,1.45297,1.24185,-0.000661241,1.85571,3.60393,6.61191,4000.0,0.0137765,1.62119
v_hard[11],1.68378,0.927049,1.57594,1.39225,0.144081,2.00547,4.15588,5.53446,4000.0,0.0115315,1.98846
v_hard[12],0.86382,0.699501,1.4554,0.969298,-0.238475,0.800764,3.67923,6.85686,4000.0,0.0142869,2.02377
v_hard[13],1.20612,1.02184,1.66281,1.76856,-0.546262,1.34188,3.79051,5.5284,4000.0,0.0115189,2.03529
v_hard[14],1.6118,0.84242,1.43466,1.52817,-0.0287601,1.48287,3.89393,5.06943,4000.0,0.0105626,2.24884
v_hard[15],1.55043,0.820241,1.44662,1.27032,0.176802,1.63495,3.47663,5.98306,4000.0,0.0124662,1.77727
v_hard[16],1.3164,0.980626,1.66535,1.91127,-0.578336,1.7236,3.73693,5.92173,4000.0,0.0123385,1.78342
v_hard[17],1.21387,0.835118,1.5202,1.61494,-0.290628,1.62907,3.53647,6.38854,4000.0,0.0133111,1.69559
v_hard[18],1.28142,0.880611,1.50096,1.1624,-0.471066,1.52937,3.61707,5.34182,4000.0,0.0111302,2.05977
v_hard[19],1.31194,0.671584,1.37662,1.30106,0.0751111,1.00535,3.58791,6.10054,4000.0,0.012711,2.19932
v_hard[20],1.41179,1.03633,1.70994,1.68502,-0.490818,0.645729,4.35128,5.03989,4000.0,0.0105011,2.28778
v_hard[21],1.16142,0.811431,1.52315,1.719,-0.405665,0.781093,3.9808,5.82169,4000.0,0.01213,1.98826
v_hard[22],0.865827,0.80625,1.62826,1.3337,-0.665833,0.365789,4.18897,5.89781,4000.0,0.0122886,2.01122
beta[1],0.568254,0.210659,0.300122,0.463447,0.191404,0.503997,0.927846,4.80198,4000.0,0.0100054,2.57162
beta[2],0.632303,0.189926,0.272109,0.416981,0.242755,0.524004,0.938173,5.15055,4000.0,0.0107316,2.25696
beta[3],0.676557,0.205758,0.293669,0.110503,0.175694,0.821268,0.926885,5.27518,4000.0,0.0109913,2.6751
beta[4],0.653271,0.185698,0.267758,0.443591,0.245263,0.603656,0.944736,5.03159,4000.0,0.0104838,2.28381
beta[5],0.559476,0.22417,0.318208,0.51841,0.167673,0.52858,0.923769,4.9062,4000.0,0.0102225,2.44211
beta[6],0.528101,0.200939,0.290501,0.259304,0.191891,0.366787,0.928344,4.58447,4000.0,0.00955215,2.95577
beta[7],0.624245,0.18161,0.258842,0.441439,0.256295,0.575893,0.931424,4.88092,4000.0,0.0101698,2.51982
beta[8],0.588895,0.223323,0.318919,0.449114,0.153141,0.456064,0.937109,5.2458,4000.0,0.0109301,2.19331
beta[9],0.63287,0.206143,0.294187,0.352964,0.152162,0.652854,0.931448,4.98533,4000.0,0.0103874,2.79187
beta[10],0.579321,0.180865,0.263364,0.294616,0.242027,0.440745,0.934188,4.67634,4000.0,0.00974357,2.79303
beta[11],0.657051,0.203691,0.289783,0.350168,0.184637,0.666677,0.934562,5.00538,4000.0,0.0104292,2.71918
beta[12],0.572528,0.200755,0.287239,0.314367,0.244322,0.456357,0.930428,4.92186,4000.0,0.0102551,2.46155
beta[13],0.637408,0.179225,0.255237,0.345449,0.254524,0.636909,0.929538,4.73871,4000.0,0.00987353,2.82382
beta[14],0.670295,0.181699,0.258717,0.258942,0.241907,0.703325,0.927642,4.84587,4000.0,0.0100968,2.87945
beta[15],0.619589,0.205637,0.292564,0.37774,0.156943,0.632684,0.927801,4.83382,4000.0,0.0100717,2.71898
beta[16],0.684565,0.219339,0.311755,0.0591334,0.148527,0.863294,0.92592,5.46946,4000.0,0.0113961,2.01251
beta[17],0.672614,0.213288,0.302838,0.261207,0.163869,0.729703,0.937263,5.23028,4000.0,0.0108978,2.51867
beta[18],0.59543,0.183406,0.263647,0.455435,0.221531,0.528727,0.92901,4.66411,4000.0,0.00971809,2.82362
beta[19],0.645682,0.174797,0.249434,0.388957,0.25859,0.608223,0.928184,4.67689,4000.0,0.00974473,3.20982
beta[20],0.655891,0.198651,0.282342,0.256576,0.187909,0.709146,0.927487,4.94162,4000.0,0.0102963,2.6196
beta[21],0.644061,0.207053,0.294078,0.337966,0.177446,0.674718,0.936236,5.18235,4000.0,0.0107979,2.6499
beta[22],0.696157,0.195136,0.27819,0.148669,0.222199,0.79998,0.929728,5.32411,4000.0,0.0110933,2.80704
a[1],1.32884,0.450472,0.651545,0.266427,0.768424,1.02525,2.42524,5.44845,4000.0,0.0113523,1.98955
a[2],1.4966,0.373192,0.589776,0.956473,0.762731,1.49577,2.29276,5.05231,4000.0,0.0105269,2.30048
a[3],1.63872,0.599628,0.905611,1.01871,0.515803,1.50091,3.02374,4.3878,4000.0,0.00914237,3.51215
a[4],1.22763,0.256051,0.381561,0.338897,0.770167,1.13365,1.8126,5.08921,4000.0,0.0106038,2.21967
a[5],1.09091,0.26284,0.423456,0.305411,0.440665,0.987342,1.71228,4.64777,4000.0,0.00968405,2.74539
